description,name,protein,fat,carbohydrate,calories
"['EnfamilGentlease', 'powder', 'madewithbottledwater']","Infant formula, Enfamil Gentlease, powder, made with bottled water",1.53,3.49,7.25,67.0
"['EnfamilGentlease', 'powder', 'madewithbabywater']","Infant formula, Enfamil Gentlease, powder, made with baby water",1.53,3.49,7.25,67.0
['EnfamilEnfagrow'],"Toddler formula, Enfamil Enfagrow",1.71,3.52,7.26,66.0
['PediaSure'],"Toddler formula, PediaSure",2.86,4.77,11.2,99.0
['NidoKinder'],"Toddler formula, Nido Kinder",1.72,3.32,6.57,62.0
"['storebrand', 'beginningornextstage']","Toddler formula, store brand, beginning or next stage",1.72,3.32,6.57,62.0
"['storebrand', 'pediatricshake']","Toddler formula, store brand, pediatric shake",2.86,4.77,11.2,99.0
"['Gerber', 'NFS']","Infant formula, Gerber, NFS",1.49,3.33,7.26,65.0
"['GerberGoodStartGentle', 'Stage1', 'ready-to-feed']","Infant formula, Gerber Good Start Gentle, Stage 1, ready-to-feed",1.45,3.34,7.3,66.0
"['GerberGoodStartGentle', 'Stage1', 'powder', 'madewithtapwater']","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with tap water",1.45,3.34,7.3,66.0
"['GerberGoodStartGentle', 'Stage1', 'powder', 'madewithbottledwater']","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with bottled water",1.45,3.34,7.3,66.0
"['GerberGoodStartGentle', 'Stage1', 'powder', 'madewithbabywater']","Infant formula, Gerber Good Start Gentle, Stage 1, powder, made with baby water",1.45,3.34,7.3,66.0
"['GerberGoodStartGentle', 'Stage2']","Infant formula, Gerber Good Start Gentle, Stage 2",1.45,3.34,7.3,66.0
"['GerberGoodStart', 'Stage3']","Toddler formula, Gerber Good Start, Stage 3",1.72,3.32,6.57,62.0
"['premature', 'powder', 'madewithwater']","Infant formula, premature, powder, made with water",1.96,3.78,7.17,70.0
"['premature', 'ready-to-feed']","Infant formula, premature, ready-to-feed",1.96,3.78,7.17,70.0
"['organic', 'powder', 'madewithwater']","Infant formula, organic, powder, made with water",1.38,3.56,7.12,66.0
"['organic', 'ready-to-feed']","Infant formula, organic, ready-to-feed",1.38,3.56,7.12,66.0
"['storebrand', 'advantageortender', 'powder', 'madewithtapwater']","Infant formula, store brand, advantage or tender, powder, made with tap water",1.38,3.56,7.12,66.0
"['storebrand', 'advantageortender', 'powder', 'madewithbottledwater']","Infant formula, store brand, advantage or tender, powder, made with bottled water",1.38,3.56,7.12,66.0
"['storebrand', 'advantageortender', 'powder', 'madewithbabywater']","Infant formula, store brand, advantage or tender, powder, made with baby water",1.38,3.56,7.12,66.0
"['storebrand', 'gentleorsensitivity']","Infant formula, store brand, gentle or sensitivity",1.46,3.51,7.12,66.0
"['storebrand', 'addedrice']","Infant formula, store brand, added rice",1.49,3.36,7.17,65.0
"['EnfamilProSobee', 'ready-to-feed']","Infant formula, Enfamil ProSobee, ready-to-feed",1.62,3.49,6.86,66.0
"['EnfamilProSobee', 'powder', 'madewithtapwater']","Infant formula, Enfamil ProSobee, powder, made with tap water",1.62,3.49,6.86,66.0
"['EnfamilProSobee', 'powder', 'madewithbottledwater']","Infant formula, Enfamil ProSobee, powder, made with bottled water",1.62,3.49,6.86,66.0
"['EnfamilProSobee', 'powder', 'madewithbabywater']","Infant formula, Enfamil ProSobee, powder, made with baby water",1.62,3.49,6.86,66.0
"['SimilacIsomilSoy', 'ready-to-feed']","Infant formula, Similac Isomil Soy, ready-to-feed",1.58,3.53,6.73,65.0
"['SimilacIsomilSoy', 'powder', 'madewithtapwater']","Infant formula, Similac Isomil Soy, powder, made with tap water",1.58,3.53,6.73,65.0
"['SimilacIsomilSoy', 'powder', 'madewithbottledwater']","Infant formula, Similac Isomil Soy, powder, made with bottled water",1.58,3.53,6.73,65.0
"['SimilacIsomilSoy', 'powder', 'madewithbabywater']","Infant formula, Similac Isomil Soy, powder, made with baby water",1.58,3.53,6.73,65.0
['SimilacforDiarrhea'],"Infant formula, Similac for Diarrhea",1.76,3.6,6.67,66.0
