description,name,protein,fat,carbohydrate,calories
['NSastomadewithmilkorwater'],"Potato soup, NS as to made with milk or water",1.6,1.49,7.66,50.0
"['creamof', 'preparedwithmilk']","Potato soup, cream of, prepared with milk",2.42,2.01,8.81,63.0
['preparedwithwater'],"Potato soup, prepared with water",0.77,0.95,6.49,38.0
[],Potato and cheese soup,2.75,3.39,8.54,74.0
[],Potato chowder,3.91,4.69,8.57,91.0
['PuertoRicanstyle'],"Plantain soup, Puerto Rican style",2.33,0.47,7.15,40.0
"['cooked', 'noaddedfat']","Plantain, cooked, no added fat",1.3,0.35,31.8,122
['cookedwithoil'],"Plantain, cooked with oil",1.26,3.24,30.9,144
['raw'],"Ripe plantain, raw",1.3,0.35,31.9,122
"['cooked', 'fatadded', 'NSastofattype']","Plantain, cooked, fat added, NS as to fat type",1.27,2.88,30.9,141
['cookedwithbutterormargarine'],"Plantain, cooked with butter or margarine",1.27,2.53,30.9,138
[],Plantain chips,2.28,29.6,63.8,531
['cookedinsaltwater'],"Green banana, cooked in salt water",1.3,0.35,31.8,122
['fried'],"Green banana, fried",1.26,3.24,30.9,144
['cooked'],"Cassava, cooked",1.42,3.03,39.6,191
[],Yuca fries,1.24,13.9,34.7,269
['cassavabread'],"Casabe, cassava bread",2.54,0.52,71.2,299
['cooked'],"Dasheen, cooked",1.57,2.95,27.6,141
['cooked'],"Taro, cooked",1.57,2.95,27.6,141
[],Fufu,1.5,2.99,33.6,166
[],Taro chips,2.3,24.9,68.1,498
['raw'],"Beet greens, raw",2.2,0.13,4.33,22.0
['cooked'],"Beet greens, cooked",2.3,2.87,4.51,48.0
['raw'],"Broccoli raab, raw",3.17,0.49,2.85,22.0
['cooked'],"Broccoli raab, cooked",3.2,3.15,2.88,46.0
['raw'],"Chard, raw",1.8,0.2,3.74,19.0
['cooked'],"Chard, cooked",1.88,2.95,3.9,44.0
['raw'],"Collards, raw",3.02,0.61,5.42,32.0
"['fresh', 'cooked', 'noaddedfat']","Collards, fresh, cooked, no added fat",3.24,0.65,5.81,34.0
"['frozen', 'cooked', 'noaddedfat']","Collards, frozen, cooked, no added fat",2.96,0.41,7.08,36.0
"['canned', 'cooked', 'noaddedfat']","Collards, canned, cooked, no added fat",1.35,0.3,2.79,19.0
"['NSastoform', 'cooked']","Collards, NS as to form, cooked",3.15,3.37,5.65,58.0
"['fresh', 'cooked', 'fatadded', 'NSastofattype']","Collards, fresh, cooked, fat added, NS as to fat type",3.15,3.37,5.65,58.0
"['frozen', 'cooked', 'fatadded', 'NSastofattype']","Collards, frozen, cooked, fat added, NS as to fat type",2.88,2.94,6.88,58.0
"['fresh', 'cookedwithoil']","Collards, fresh, cooked with oil",3.14,3.76,5.64,61.0
"['fresh', 'cookedwithbutterormargarine']","Collards, fresh, cooked with butter or margarine",3.16,2.99,5.65,54.0
"['frozen', 'cookedwithoil']","Collards, frozen, cooked with oil",2.88,3.3,6.87,61.0
"['frozen', 'cookedwithbutterormargarine']","Collards, frozen, cooked with butter or margarine",2.89,2.58,6.88,55.0
"['canned', 'cookedwithoil']","Collards, canned, cooked with oil",1.31,3.18,2.71,44.0
"['canned', 'cookedwithbutterormargarine']","Collards, canned, cooked with butter or margarine",1.33,2.47,2.72,38.0
['raw'],"Cress, raw",2.6,0.7,5.5,32.0
['cooked'],"Cress, cooked",2.72,3.47,5.73,58.0
['raw'],"Dandelion greens, raw",2.7,0.7,9.2,45.0
['cooked'],"Dandelion greens, cooked",2.82,3.47,9.58,71.0
['raw'],"Romaine lettuce, raw",1.36,0.15,2.87,15.0
"['withromaine', 'nodressing']","Caesar salad, with romaine, no dressing",4.23,3.57,6.78,76.0
['cooked'],"Escarole, cooked",1.12,2.72,2.98,37.0
"['fresh', 'cooked', 'noaddedfat']","Greens, fresh, cooked, no added fat",2.97,0.97,5.16,37.0
"['frozen', 'cooked', 'noaddedfat']","Greens, frozen, cooked, no added fat",2.92,0.71,5.75,37.0
"['NSastoform', 'cooked']","Greens, NS as to form, cooked",2.89,3.4,5.02,58.0
"['fresh', 'cooked', 'fatadded']","Greens, fresh, cooked, fat added",2.89,3.4,5.02,58.0
"['frozen', 'cooked', 'fatadded']","Greens, frozen, cooked, fat added",2.84,3.24,5.59,59.0
"['canned', 'cooked', 'fatadded']","Greens, canned, cooked, fat added",1.32,2.82,2.71,41.0
['raw'],"Kale, raw",2.92,1.49,4.42,43.0
"['fresh', 'cooked', 'noaddedfat']","Kale, fresh, cooked, no added fat",3.13,1.6,4.74,46.0
"['frozen', 'cooked', 'noaddedfat']","Kale, frozen, cooked, no added fat",2.93,1.21,5.28,44.0
"['canned', 'cooked', 'noaddedfat']","Kale, canned, cooked, no added fat",1.35,0.3,2.79,19.0
"['NSastoform', 'cooked']","Kale, NS as to form, cooked",3.05,4.29,4.61,69.0
"['fresh', 'cooked', 'fatadded']","Kale, fresh, cooked, fat added",3.05,4.29,4.61,69.0
"['frozen', 'cooked', 'fatadded']","Kale, frozen, cooked, fat added",2.85,3.72,5.14,66.0
['cooked'],"Lambsquarter, cooked",3.11,3.22,4.85,54.0
['raw'],"Mustard greens, raw",2.86,0.42,4.67,27.0
"['fresh', 'cooked', 'noaddedfat']","Mustard greens, fresh, cooked, no added fat",3.07,0.45,5.01,29.0
"['frozen', 'cooked', 'noaddedfat']","Mustard greens, frozen, cooked, no added fat",2.26,0.25,3.1,19.0
"['canned', 'cooked', 'noaddedfat']","Mustard greens, canned, cooked, no added fat",1.35,0.3,2.79,19.0
"['NSastoform', 'cooked']","Mustard greens, NS as to form, cooked",2.99,3.18,4.87,53.0
"['fresh', 'cooked', 'fatadded']","Mustard greens, fresh, cooked, fat added",2.99,3.18,4.87,53.0
"['frozen', 'cooked', 'fatadded']","Mustard greens, frozen, cooked, fat added",2.21,2.79,3.02,41.0
['cooked'],"Poke greens, cooked",2.24,2.93,3.01,42.0
['raw'],"Radicchio, raw",1.43,0.25,4.48,23.0
['raw'],"Spinach, raw",2.85,0.62,2.41,27.0
"['fresh', 'cooked', 'noaddedfat']","Spinach, fresh, cooked, no added fat",3.41,0.7,3.1,33.0
"['frozen', 'cooked', 'noaddedfat']","Spinach, frozen, cooked, no added fat",4.0,0.87,4.79,34.0
"['canned', 'cooked', 'noaddedfat']","Spinach, canned, cooked, no added fat",2.81,0.5,3.4,23.0
"['fresh', 'cookedwithoil']","Spinach, fresh, cooked with oil",3.31,4.1,3.01,63.0
"['fresh', 'cookedwithbutterormargarine']","Spinach, fresh, cooked with butter or margarine",3.33,3.26,3.02,55.0
"['NSastoform', 'cooked']","Spinach, NS as to form, cooked",3.32,3.68,3.01,59.0
"['fresh', 'cooked', 'fatadded', 'NSastofattype']","Spinach, fresh, cooked, fat added, NS as to fat type",3.32,3.68,3.01,59.0
"['frozen', 'cooked', 'fatadded', 'NSastofattype']","Spinach, frozen, cooked, fat added, NS as to fat type",3.89,3.39,4.65,56.0
"['canned', 'cooked', 'fatadded', 'NSastofattype']","Spinach, canned, cooked, fat added, NS as to fat type",2.74,3.04,3.31,45.0
"['frozen', 'cookedwithoil']","Spinach, frozen, cooked with oil",3.88,3.75,4.65,59.0
"['frozen', 'cookedwithbutterormargarine']","Spinach, frozen, cooked with butter or margarine",3.9,3.03,4.66,53.0
"['canned', 'cookedwithoil']","Spinach, canned, cooked with oil",2.73,3.4,3.3,49.0
"['canned', 'cookedwithbutterormargarine']","Spinach, canned, cooked with butter or margarine",2.74,2.68,3.31,42.0
['creamed'],"Spinach, creamed",2.52,6.18,5.95,89.0
[],Spinach souffle,5.72,8.64,7.13,128
[],Spinach and cheese casserole,7.02,7.46,9.91,129
[],Palak Paneer,5.24,7.06,3.94,100
[],Channa Saag,4.1,4.33,8.79,89.0
['cooked'],"Taro leaves, cooked",5.19,3.51,6.98,68.0
"['fresh', 'cooked', 'noaddedfat']","Turnip greens, fresh, cooked, no added fat",1.14,0.23,4.35,20.0
"['frozen', 'cooked', 'noaddedfat']","Turnip greens, frozen, cooked, no added fat",3.34,0.42,4.96,29.0
"['canned', 'cooked', 'noaddedfat']","Turnip greens, canned, cooked, no added fat",1.35,0.3,2.79,19.0
"['NSastoform', 'cooked']","Turrnip greens, NS as to form, cooked",1.11,2.77,4.23,42.0
"['fresh', 'cooked', 'fatadded']","Turnip greens, fresh, cooked, fat added",1.11,2.77,4.23,42.0
"['frozen', 'cooked', 'fatadded']","Turnip greens, frozen, cooked, fat added",3.25,2.95,4.83,51.0
"['canned', 'cooked', 'fatadded']","Turnip greens, canned, cooked, fat added",1.32,2.82,2.71,41.0
['raw'],"Watercress, raw",2.3,0.1,1.29,11.0
['cooked'],"Watercress, cooked",2.4,2.84,1.35,36.0
"['horseradish', 'jute', 'orradishleaves', 'cooked']","Bitter melon, horseradish, jute, or radish leaves, cooked",3.49,2.74,6.47,56.0
"['squash', 'pumpkin', 'chrysanthemum', 'orbeanleaves', 'cooked']","Sweet potato, squash, pumpkin, chrysanthemum, or bean leaves, cooked",2.12,2.88,7.15,57.0
['raw'],"Broccoli, raw",2.57,0.34,6.27,39.0
"['cooked', 'fromrestaurant']","Broccoli, cooked, from restaurant",2.55,4.66,6.2,77.0
"['fresh', 'cooked', 'noaddedfat']","Broccoli, fresh, cooked, no added fat",2.67,0.35,6.51,41.0
"['frozen', 'cooked', 'noaddedfat']","Broccoli, frozen, cooked, no added fat",3.09,0.12,5.33,28.0
"['NSastoform', 'cooked']","Broccoli, NS as to form, cooked",2.6,3.0,6.33,63.0
"['fresh', 'cooked', 'fatadded', 'NSastofattype']","Broccoli, fresh, cooked, fat added, NS as to fat type",2.6,3.0,6.33,63.0
"['frozen', 'cooked', 'fatadded', 'NSastofattype']","Broccoli, frozen, cooked, fat added, NS as to fat type",3.01,2.66,5.18,50.0
"['fresh', 'cookedwithoil']","Broccoli, fresh, cooked with oil",2.59,3.37,6.32,67.0
"['fresh', 'cookedwithbutterormargarine']","Broccoli, fresh, cooked with butter or margarine",2.61,2.62,6.33,60.0
"['frozen', 'cookedwithoil']","Broccoli, frozen, cooked with oil",3.0,3.02,5.18,53.0
"['frozen', 'cookedwithbutterormargarine']","Broccoli, frozen, cooked with butter or margarine",3.02,2.3,5.19,47.0
[],Broccoli casserole with noodles,3.59,3.79,15.8,112
[],Broccoli casserole with rice,4.13,3.52,15.1,106
[],Fried broccoli,4.28,12.9,22.4,223
"['chinese', 'raw']","Broccoli, chinese, raw",1.2,0.76,4.67,26.0
"['Chinese', 'cooked']","Broccoli, Chinese, cooked",1.22,3.42,4.72,50.0
"['preparedwithmilk', 'homerecipe', 'cannedorready-to-serve']","Broccoli soup, prepared with milk, home recipe, canned or ready-to-serve",2.72,3.72,6.27,70.0
"['preparedwithwater', 'homerecipe', 'canned', 'orready-to-serve']","Broccoli soup, prepared with water, home recipe, canned, or ready-to-serve",1.06,2.69,3.91,44.0
"['preparedwithmilk', 'homerecipe', 'canned', 'orready-to-serve']","Broccoli cheese soup, prepared with milk, home recipe, canned, or ready-to-serve",2.72,3.72,6.27,70.0
[],Spinach soup,2.94,1.09,2.52,32.0
['Asianstyle'],"Dark-green leafy vegetable soup with meat, Asian style",6.46,3.31,5.52,78.0
"['meatless', 'Asianstyle']","Dark-green leafy vegetable soup, meatless, Asian style",1.57,1.98,6.52,49.0
['raw'],"Carrots, raw",0.93,0.24,9.58,41.0
"['raw', 'salad']","Carrots, raw, salad",1.25,15.7,17.2,208
"['raw', 'saladwithapples']","Carrots, raw, salad with apples",0.84,16.0,8.16,176
"['cooked', 'fromrestaurant']","Carrots, cooked, from restaurant",0.93,4.57,9.47,79.0
"['fresh', 'cooked', 'noaddedfat']","Carrots, fresh, cooked, no added fat",0.97,0.25,9.95,43.0
"['frozen', 'cooked', 'noaddedfat']","Carrots, frozen, cooked, no added fat",0.81,0.47,7.9,39.0
"['canned', 'cooked', 'noaddedfat']","Carrots, canned, cooked, no added fat",0.64,0.19,5.54,25.0
"['fresh', 'cookedwithoil']","Carrots, fresh, cooked with oil",0.94,3.27,9.66,69.0
"['fresh', 'cookedwithbutterormargarine']","Carrots, fresh, cooked with butter or margarine",0.96,2.52,9.67,62.0
"['NSastoform', 'cooked']","Carrots, NS as to form, cooked",0.95,2.89,9.67,65.0
"['fresh', 'cooked', 'fatadded', 'NSastofattype']","Carrots, fresh, cooked, fat added, NS as to fat type",0.95,2.89,9.67,65.0
"['frozen', 'cooked', 'fatadded', 'NSastofattype']","Carrots, frozen, cooked, fat added, NS as to fat type",0.79,3.0,7.67,61.0
"['canned', 'cooked', 'fatadded', 'NSastofattype']","Carrots, canned, cooked, fat added, NS as to fat type",0.63,2.74,5.38,47.0
"['frozen', 'cookedwithoil']","Carrots, frozen, cooked with oil",0.78,3.36,7.67,64.0
"['frozen', 'cookedwithbutterormargarine']","Carrots, frozen, cooked with butter or margarine",0.8,2.64,7.68,57.0
"['canned', 'cookedwithoil']","Carrots, canned, cooked with oil",0.62,3.1,5.38,50.0
"['canned', 'cookedwithbutterormargarine']","Carrots, canned, cooked with butter or margarine",0.64,2.38,5.39,44.0
"['glazed', 'cooked']","Carrots, glazed, cooked",0.9,2.68,16.7,90.0
"['canned', 'reducedsodium', 'cooked', 'noaddedfat']","Carrots, canned, reduced sodium, cooked, no added fat",0.59,0.14,5.36,23.0
"['canned', 'reducedsodium', 'cooked', 'fatadded', 'NSastofattype']","Carrots, canned, reduced sodium, cooked, fat added, NS as to fat type",0.58,2.69,5.21,45.0
"['canned', 'reducedsodium', 'cookedwithoil']","Carrots, canned, reduced sodium, cooked with oil",0.57,3.05,5.2,49.0
"['canned', 'reducedsodium', 'cookedwithbutterormargarine']","Carrots, canned, reduced sodium, cooked with butter or margarine",0.59,2.33,5.21,42.0
[],Beet juice,0.72,0.06,5.91,25.0
['100%'],"Carrot juice, 100%",0.95,0.15,9.28,40.0
"['fresh', 'cooked', 'noaddedfat']","Peas and carrots, fresh, cooked, no added fat",3.3,0.33,12.5,63.0
"['frozen', 'cooked', 'noaddedfat']","Peas and carrots, frozen, cooked, no added fat",2.97,0.37,11.1,58.0
"['canned', 'cooked', 'noaddedfat']","Peas and carrots, canned, cooked, no added fat",2.56,0.5,8.45,46.0
"['cooked', 'NSastoform']","Peas and carrots, cooked, NS as to form",3.21,2.98,12.1,85.0
"['fresh', 'cooked', 'fatadded']","Peas and carrots, fresh, cooked, fat added",3.21,2.98,12.1,85.0
"['frozen', 'cooked', 'fatadded']","Peas and carrots, frozen, cooked, fat added",2.89,2.9,10.7,80.0
"['canned', 'cooked', 'fatadded']","Peas and carrots, canned, cooked, fat added",2.49,3.03,8.21,68.0
"['canned', 'cooked']","Pumpkin, canned, cooked",1.08,2.82,7.86,56.0
['cooked'],"Pumpkin, cooked",1.05,2.84,6.77,52.0
['raw'],"Winter squash, raw",1.0,0.1,6.5,26.0
"['cooked', 'noaddedfat']","Winter squash, cooked, no added fat",0.89,0.35,8.82,37.0
"['cooked', 'fatadded']","Winter squash, cooked, fat added",0.87,2.88,8.57,59.0
"['winter', 'souffle']","Squash, winter, souffle",3.4,2.26,12.1,78.0
['NFS'],"Sweet potato, NFS",1.31,4.29,16.8,110
"['baked', 'NSastofat']","Sweet potato, baked, NS as to fat",1.92,4.3,19.7,123
"['baked', 'noaddedfat']","Sweet potato, baked, no added fat",2.0,0.15,20.6,90.0
"['baked', 'fatadded']","Sweet potato, baked, fat added",1.92,4.3,19.7,123
"['boiled', 'NSastofat']","Sweet potato, boiled, NS as to fat",1.31,4.29,16.8,110
"['boiled', 'noaddedfat']","Sweet potato, boiled, no added fat",1.36,0.14,17.6,76.0
"['boiled', 'fatadded']","Sweet potato, boiled, fat added",1.31,4.29,16.8,110
['candied'],"Sweet potato, candied",0.99,3.3,37.5,182
"['canned', 'NSastofat']","Sweet potato, canned, NS as to fat",1.58,4.35,20.0,124
"['canned', 'noaddedfat']","Sweet potato, canned, no added fat",1.64,0.2,21.0,91.0
"['canned', 'fatadded']","Sweet potato, canned, fat added",1.58,4.35,20.0,124
['casseroleormashed'],"Sweet potato, casserole or mashed",1.68,2.36,17.0,94.0
['NFS'],"Sweet potato fries, NFS",2.27,9.39,37.4,192
[],Sweet potato chips,2.92,32.2,56.5,529
['frozen'],"Sweet potato fries, frozen",2.27,9.39,37.4,192
['fromfresh'],"Sweet potato fries, from fresh",1.82,9.19,18.8,163
['fastfood/restaurant'],"Sweet potato fries, fast food / restaurant",1.92,23.9,31.6,305
['school'],"Sweet potato fries, school",2.27,9.39,37.4,192
[],Sweet potato tots,2.26,9.35,37.3,191
['fastfood/restaurant'],"Sweet potato tots, fast food / restaurant",2.12,15.6,34.9,240
['school'],"Sweet potato tots, school",2.27,9.39,37.4,192
"['wintertype', 'soup', 'homerecipe', 'canned', 'orready-to-serve']","Squash, winter type, soup, home recipe, canned, or ready-to-serve",0.5,2.46,4.37,39.0
['raw'],"Tomatoes, raw",0.82,0.31,4.04,20.0
"['NSastoform', 'cooked']","Tomatoes, NS as to form, cooked",1.08,3.42,4.71,50.0
"['fresh', 'cooked']","Tomatoes, fresh, cooked",1.08,3.42,4.71,50.0
"['canned', 'cooked']","Tomatoes, canned, cooked",0.82,3.04,3.23,43.0
['scalloped'],"Tomatoes, scalloped",2.7,4.97,14.1,110
"['canned', 'reducedsodium', 'cooked']","Tomatoes, canned, reduced sodium, cooked",0.78,2.8,3.37,39.0
[],Fried green tomatoes,3.68,12.8,21.8,216
"['green', 'pickled']","Tomato, green, pickled",1.0,0.18,9.09,40.0
[],Sun-dried tomatoes,14.1,2.97,55.8,258
['100%'],"Tomato juice, 100%",0.86,0.29,4.32,23.0
"['100%', 'lowsodium']","Tomato juice, 100%, low sodium",0.86,0.29,4.32,23.0
[],Tomato juice cocktail,0.93,0.31,3.87,22.0
['100%'],"Tomato and vegetable juice, 100%",0.93,0.31,3.87,22.0
"['100%', 'lowsodium']","Tomato and vegetable juice, 100%, low sodium",0.6,0.1,4.59,22.0
[],Ketchup,1.08,0.32,27.1,109
['reducedsodium'],"Ketchup, reduced sodium",1.04,0.1,27.4,101
[],Tomato chili sauce,2.5,0.3,19.8,92.0
['NFS'],"Salsa, NFS",1.44,0.19,6.74,34.0
['picodegallo'],"Salsa, pico de gallo",0.71,0.14,3.7,17.0
['red'],"Salsa, red",1.44,0.19,6.74,34.0
"['red', 'homemade']","Salsa, red, homemade",1.44,0.19,6.74,34.0
[],Taco sauce,1.16,0.68,0.72,11.0
['red'],"Enchilada sauce, red",0.62,0.91,4.87,30.0
['green'],"Enchilada sauce, green",1.13,0.89,6.36,38.0
['green'],"Salsa verde or salsa, green",1.13,0.89,6.36,38.0
[],Hot Thai sauce,1.03,0.66,16.6,74.0
[],Spaghetti sauce,1.41,1.48,8.05,51.0
[],Spaghetti sauce with added vegetables,1.53,1.21,7.42,46.0
['reducedsodium'],"Spaghetti sauce, reduced sodium",1.41,1.48,8.06,51.0
['fatfree'],"Spaghetti sauce, fat free",1.2,0.3,5.31,24.0
[],Vodka sauce with tomatoes and cream,1.26,6.64,3.43,75.0
[],Barbecue sauce,0.82,0.63,40.8,172
[],Buffalo sauce,1.21,0.71,0.75,11.0
[],Steak sauce,1.25,0.23,22.0,95.0
[],Cocktail sauce,1.36,1.05,28.2,128
[],Puerto Rican seasoning with ham,4.01,24.8,7.19,265
[],Puerto Rican seasoning with ham and tomato sauce,5.14,15.0,5.26,175
[],Puerto Rican seasoning without ham and tomato sauce,1.07,10.8,6.85,126
[],Tomato aspic,2.58,0.26,5.32,33.0
"['cucumber', 'oil', 'andvinegar']","Tomato and cucumber salad made with tomato, cucumber, oil, and vinegar",0.53,10.2,6.53,121
['NFS'],"Tomato soup, NFS",0.74,0.22,7.72,33.0
"['creamof', 'preparedwithmilk']","Tomato soup, cream of, prepared with milk",2.4,1.29,10.0,59.0
"['preparedwithwater', 'orready-to-serve']","Tomato soup, prepared with water, or ready-to-serve",0.74,0.22,7.72,33.0
"['instanttype', 'preparedwithwater']","Tomato soup, instant type, prepared with water",0.93,0.61,7.17,38.0
"['canned', 'reducedsodium', 'preparedwithwater', 'orready-to-serve']","Tomato soup, canned, reduced sodium, prepared with water, or ready-to-serve",0.82,0.28,6.8,33.0
['preparedwithwater'],"Tomato beef soup, prepared with water",1.78,1.71,8.44,56.0
"['canned', 'preparedwithwaterorready-to-serve']","Tomato noodle soup, canned, prepared with water or ready-to-serve",1.66,0.67,11.8,58.0
['preparedwithwater'],"Tomato vegetable soup, prepared with water",0.74,0.22,7.72,33.0
['preparedwithwater'],"Tomato vegetable soup with noodles, prepared with water",0.86,0.79,4.89,28.0
[],Tomato sandwich on white,8.52,6.88,26.5,202
[],Tomato sandwich on wheat,9.49,7.07,24.6,200
['NFS'],"Raw vegetable, NFS",1.25,0.26,5.71,29.0
['NFS'],"Sprouts, NFS",3.04,0.18,5.94,30.0
['raw'],"Alfalfa sprouts, raw",3.99,0.69,2.1,23.0
['raw'],"Artichoke, raw",2.89,0.34,12.0,53.0
['raw'],"Asparagus, raw",2.2,0.12,3.88,20.0
['raw'],"Bean sprouts, raw",3.04,0.18,5.94,30.0
['raw'],"Green beans, raw",1.83,0.22,6.97,31.0
['raw'],"Beets, raw",1.61,0.17,9.56,43.0
['raw'],"Broccoflower, raw",2.95,0.3,6.09,31.0
['raw'],"Brussels sprouts, raw",3.38,0.3,8.95,43.0
"['green', 'raw']","Cabbage, green, raw",1.28,0.1,5.8,25.0
"['Chinese', 'raw']","Cabbage, Chinese, raw",1.5,0.2,2.18,13.0
"['red', 'raw']","Cabbage, red, raw",1.43,0.16,7.37,31.0
['raw'],"Cactus, raw",1.32,0.09,3.33,16.0
['raw'],"Cauliflower, raw",1.92,0.28,4.97,25.0
['raw'],"Celery, raw",0.69,0.17,2.97,14.0
['raw'],"Fennel bulb, raw",1.24,0.2,7.3,31.0
['raw'],"Basil, raw",3.15,0.64,2.65,23.0
['raw'],"Chives, raw",3.27,0.73,4.35,30.0
['raw'],"Cilantro, raw",2.13,0.52,3.67,23.0
['raw'],"Corn, raw",3.27,1.35,18.7,86.0
['raw'],"Cucumber, raw",0.65,0.11,3.63,15.0
['raw'],"Eggplant, raw",0.98,0.18,5.88,25.0
['raw'],"Garlic, raw",6.62,0.38,28.2,143
['raw'],"Jicama, raw",0.72,0.09,8.82,38.0
['raw'],"Kohlrabi, raw",1.7,0.1,6.2,27.0
['raw'],"Lettuce, raw",1.13,0.14,2.92,14.0
"['Boston', 'raw']","Lettuce, Boston, raw",1.33,0.22,2.26,13.0
"['arugula', 'raw']","Lettuce, arugula, raw",2.58,0.66,3.65,25.0
['raw'],"Mixed salad greens, raw",1.61,0.28,2.63,17.0
['raw'],"Mushrooms, raw",2.9,0.35,4.13,31.0
"['green', 'raw']","Onions, green, raw",1.83,0.19,7.34,32.0
['raw'],"Onions, raw",0.86,0.08,8.46,38.0
['raw'],"Parsley, raw",2.97,0.79,6.33,36.0
['raw'],"Green peas, raw",5.42,0.4,14.4,81.0
"['hotchili', 'raw']","Pepper, hot chili, raw",1.39,0.4,7.66,34.0
"['raw', 'NFS']","Pepper, raw, NFS",0.91,0.22,5.13,22.0
"['sweet', 'green', 'raw']","Pepper, sweet, green, raw",0.86,0.17,4.64,20.0
"['sweet', 'red', 'raw']","Pepper, sweet, red, raw",0.99,0.3,6.03,26.0
"['banana', 'raw']","Pepper, banana, raw",1.66,0.45,5.35,27.0
['raw'],"Radish, raw",0.68,0.1,3.4,16.0
['raw'],"Rutabaga, raw",1.08,0.16,8.62,37.0
['raw'],"Seaweed, raw",3.51,0.49,7.94,41.0
['raw'],"Snowpeas, raw",2.8,0.2,7.55,42.0
"['yellow', 'raw']","Summer squash, yellow, raw",1.01,0.27,3.88,19.0
"['green', 'raw']","Summer squash, green, raw",1.21,0.32,3.11,17.0
['raw'],"Turnip, raw",0.9,0.1,6.43,28.0
[],Mixed vegetable juice,0.82,0.16,6.12,27.0
[],Celery juice,0.69,0.17,2.97,14.0
"['cheese', 'baconbits', 'anddressing']","Broccoli salad with cauliflower, cheese, bacon bits, and dressing",5.83,22.8,10.4,270
[],Broccoli slaw salad,1.97,8.1,10.4,122
['fastfood/restaurant'],"Coleslaw, fast food / restaurant",0.88,11.8,12.4,159
[],Coleslaw,1.14,7.89,10.0,113
['NFS'],"Cabbage salad, NFS",0.99,0.71,8.5,41.0
['withfruit'],"Coleslaw, with fruit",1.07,6.26,13.3,109
[],Cucumber and vegetable namasu,0.48,0.12,12.5,55.0
['madewithsourcreamdressing'],"Cucumber salad, made with sour cream dressing",1.15,5.51,3.92,66.0
['madewithItaliandressing'],"Cucumber salad, made with Italian dressing",0.48,9.93,6.55,119
[],Cucumber salad made with cucumber and vinegar,0.52,0.09,7.2,34.0
"['saladwithassortedvegetablesincludingtomatoesand/orcarrots', 'nodressing']","Lettuce, salad with assorted vegetables including tomatoes and/or carrots, no dressing",1.25,0.23,4.11,21.0
"['saladwithassortedvegetablesexcludingtomatoesandcarrots', 'nodressing']","Lettuce, salad with assorted vegetables excluding tomatoes and carrots, no dressing",1.4,0.23,3.63,20.0
"['saladwithavocado', 'tomato', 'and/orcarrots', 'withorwithoutothervegetables', 'nodressing']","Lettuce, salad with avocado, tomato, and/or carrots, with or without other vegetables, no dressing",1.43,3.42,5.1,52.0
"['saladwithcheese', 'tomatoand/orcarrots', 'withorwithoutothervegetables', 'nodressing']","Lettuce, salad with cheese, tomato and/or carrots, with or without other vegetables, no dressing",5.09,6.1,3.82,89.0
"['saladwithegg', 'tomato', 'and/orcarrots', 'withorwithoutothervegetables', 'nodressing']","Lettuce, salad with egg, tomato, and/or carrots, with or without other vegetables, no dressing",3.54,2.33,3.51,48.0
"['saladwithegg', 'cheese', 'tomato', 'and/orcarrots', 'withorwithoutothervegetables', 'nodressing']","Lettuce, salad with egg, cheese, tomato, and/or carrots, with or without other vegetables, no dressing",4.36,4.37,3.39,69.0
"['wilted', 'withbacondressing']","Lettuce, wilted, with bacon dressing",2.99,6.3,2.48,78.0
"['lettucesaladmadewithacombinationofonion', 'celery', 'greenpepper', 'peas', 'mayonnaise', 'cheese', 'eggs', 'and/orbacon']","Seven-layer salad, lettuce salad made with a combination of onion, celery, green pepper, peas, mayonnaise, cheese, eggs, and/or bacon",4.76,20.7,5.66,227
['nodressing'],"Greek Salad, no dressing",2.62,2.14,3.84,44.0
['nodressing'],"Spinach salad, no dressing",7.02,5.07,2.09,84.0
['nodressing'],"Cobb salad, no dressing",11.4,4.34,2.48,92.0
[],Aloe vera juice drink,0.0,0.0,3.75,15.0
"['fresh', 'cooked', 'noaddedfat']","Artichoke, fresh, cooked, no added fat",2.88,0.34,11.9,53.0
"['canned', 'cooked', 'noaddedfat']","Artichoke, canned, cooked, no added fat",2.88,0.34,11.9,53.0
"['NSastoform', 'cooked']","Artichokes, NS as to form, cooked",2.81,2.88,11.6,74.0
"['fresh', 'cooked', 'noaddedfat']","Asparagus, fresh, cooked, no added fat",2.36,0.13,4.16,21.0
"['frozen', 'cooked', 'noaddedfat']","Asparagus, frozen, cooked, no added fat",2.94,0.42,1.91,18.0
"['canned', 'cooked', 'noaddedfat']","Asparagus, canned, cooked, no added fat",2.14,0.65,2.46,19.0
"['NSastoform', 'cooked']","Asparagus, NS as to form, cooked",2.3,2.86,4.04,45.0
"['fresh', 'cooked', 'fatadded', 'NSastofattype']","Asparagus, fresh, cooked, fat added, NS as to fat type",2.3,2.86,4.04,45.0
"['frozen', 'cooked', 'fatadded', 'NSastofattype']","Asparagus, frozen, cooked, fat added, NS as to fat type",2.86,2.95,1.86,40.0
"['canned', 'cooked', 'fatadded', 'NSastofattype']","Asparagus, canned, cooked, fat added, NS as to fat type",2.09,3.18,2.39,41.0
"['fresh', 'cookedwithoil']","Asparagus, fresh, cooked with oil",2.29,3.25,4.04,49.0
